trace,weight
473.astar-s0,0.452174
473.astar-s1,0.162319
473.astar-s2,0.22029
410.bwaves-s0,0.262524
410.bwaves-s1,0.337187
410.bwaves-s2,0.157996
000.bzip2-s0,0.334184
000.bzip2-s1,0.19898
000.bzip2-s2,0.211735
000.cactusADM-s0,0.0643087
000.cactusADM-s1,0.353698
000.cactusADM-s2,0.515756
000.calculix-s0,0.207185
000.calculix-s1,0.555355
000.calculix-s2,0.0964754
000.gcc-s0,0.323077
000.gcc-s1,0.153846
000.gcc-s2,0.138462
459.GemsFDTD-s0,0.228906
459.GemsFDTD-s1,0.148705
459.GemsFDTD-s2,0.16792
000.gobmk-s0,1
000.gromacs-s0,0.75
000.h264ref-s0,0.168539
000.h264ref-s1,0.359551
000.h264ref-s2,0.21573
000.hmmer-s0,0.198573
000.hmmer-s1,0.243757
000.hmmer-s2,0.317479
470.lbm-s0,0.375695
470.lbm-s1,0.583797
437.leslie3d-s0,0.191894
437.leslie3d-s1,0.142266
437.leslie3d-s2,0.163772
462.libquantum-s0,0.220129
462.libquantum-s1,0.204521
462.libquantum-s2,0.203983
429.mcf-s0,0.154639
429.mcf-s1,0.175258
429.mcf-s2,0.329897
433.milc-s0,0.240631
433.milc-s1,0.197239
433.milc-s2,0.206114
471.omnetpp-s0,0.0309654
471.omnetpp-s1,0.954463
471.omnetpp-s2,0.010929
000.perlbench-s0,0.0220588
000.perlbench-s1,0.404412
000.perlbench-s2,0.536765
450.soplex-s0,0.185976
450.soplex-s1,0.164634
450.soplex-s2,0.347561
482.sphinx3-s0,0.175692
482.sphinx3-s1,0.222623
482.sphinx3-s2,0.135078
000.tonto-s0,0.205746
000.tonto-s1,0.269155
000.tonto-s2,0.137715
000.wrf-s0,0.35202
000.xalancbmk-s0,0.346578
000.xalancbmk-s1,0.250552
000.xalancbmk-s2,0.188742
000.zeusmp-s0,0.33
000.zeusmp-s1,0.33
000.zeusmp-s2,0.34
